FieldID,auxin,gibberellin,cytokinin,ethylene,abscisicAcid,nitrogen,phosphorus,magnesium,sulfur,silicon,plantGrowth
184122,AuxinNA,gibberellinNA,cytokininNA,ethyleneNA,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurAN,siliconLow,LowGrowth
155311,AuxinAN,gibberellinLow,cytokininNA,ethyleneNA,abscisicAcidNA,NitrogenMN,phosphorusAN,magnesiumAN,sulfurMN,siliconLow,MediumGrowth
115798,AuxinAN,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumLow,sulfurMN,siliconAN,HighGrowth
210811,AuxinLow,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurAN,siliconMN,HighGrowth
199138,AuxinLow,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidNA,NitrogenAN,phosphorusAN,magnesiumMN,sulfurAN,siliconLow,MediumGrowth
141575,AuxinLow,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenMN,phosphorusLow,magnesiumLow,sulfurMN,siliconLow,HighGrowth
111671,AuxinNA,gibberellinAN,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurMN,siliconMN,HighGrowth
169186,AuxinLow,gibberellinAN,cytokininNA,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumMN,sulfurLow,siliconLow,LowGrowth
166999,AuxinAN,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusLow,magnesiumAN,sulfurLow,siliconLow,LowGrowth
123017,AuxinAN,gibberellinNA,cytokininAN,ethyleneNA,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumLow,sulfurAN,siliconMN,HighGrowth
156577,AuxinNA,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenLow,phosphorusLow,magnesiumMN,sulfurMN,siliconMN,HighGrowth
145201,AuxinLow,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumMN,sulfurLow,siliconLow,MediumGrowth
133750,AuxinAN,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumAN,sulfurLow,siliconAN,HighGrowth
171006,AuxinNA,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusLow,magnesiumMN,sulfurLow,siliconAN,LowGrowth
140620,AuxinAN,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidNA,NitrogenMN,phosphorusMN,magnesiumAN,sulfurAN,siliconMN,HighGrowth
180712,AuxinNA,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumAN,sulfurMN,siliconLow,MediumGrowth
123073,AuxinLow,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
138113,AuxinLow,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,HighGrowth
161898,AuxinNA,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusMN,magnesiumLow,sulfurLow,siliconLow,MediumGrowth
130055,AuxinLow,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,HighGrowth
160493,AuxinLow,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumLow,sulfurAN,siliconMN,HighGrowth
193612,AuxinAN,gibberellinNA,cytokininLow,ethyleneNA,abscisicAcidNA,NitrogenMN,phosphorusAN,magnesiumLow,sulfurLow,siliconAN,LowGrowth
138415,AuxinNA,gibberellinNA,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusLow,magnesiumMN,sulfurAN,siliconMN,LowGrowth
181758,AuxinNA,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurLow,siliconLow,LowGrowth
176944,AuxinAN,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
157396,AuxinLow,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,HighGrowth
128637,AuxinNA,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidLow,NitrogenAN,phosphorusAN,magnesiumAN,sulfurLow,siliconLow,LowGrowth
203679,AuxinAN,gibberellinAN,cytokininAN,ethyleneNA,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumAN,sulfurMN,siliconMN,HighGrowth
202926,AuxinLow,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenAN,phosphorusLow,magnesiumMN,sulfurLow,siliconMN,MediumGrowth
158659,AuxinLow,gibberellinAN,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumAN,sulfurAN,siliconAN,HighGrowth
119719,AuxinAN,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurAN,siliconAN,MediumGrowth
175878,AuxinAN,gibberellinNA,cytokininNA,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumMN,sulfurMN,siliconAN,MediumGrowth
200118,AuxinNA,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumLow,sulfurAN,siliconAN,LowGrowth
151423,AuxinAN,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumLow,sulfurAN,siliconAN,LowGrowth
134889,AuxinNA,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidLow,NitrogenAN,phosphorusLow,magnesiumAN,sulfurMN,siliconLow,LowGrowth
